Item;Type;Group;Number;DomainIntro;domainImage1;domainImage2;domainImage3;domainImage4;domainImage5;Premises;judgmentImage1;judgmentImage2;judgmentImage3;TargetResponse;set_A;set_B;A1_color;A2_color;A3_color;B1_color;B2_color
control-false-none-E1;AorB_B1.A1A2A3;1;1 of 2;KnightBGR_GnomeGY.wav;KnightBlue.png;KnightGreen.png;KnightRed.png;GnomeGreen.png;GnomeYellow.png;GnomeGreen.wav;KnightBlue.png;KnightGreen.png;KnightRed.png;sad;Knight;Gnome;Blue;Green;Red;Green;Yellow
control-false-none-E1;AorB_B2.A1A2A3;1;2 of 2;KingGYB_GardenerRG.wav;KingGreen.png;KingYellow.png;KingBlue.png;GardenerRed.png;GardenerGreen.png;GardenerGreen.wav;KingGreen.png;KingYellow.png;KingBlue.png;sad;King;Gardener;Green;Yellow;Blue;Red;Green
control-false-none-E1;AorB_B2.A1A2A3;2;1 of 2;PolicemanBGR_FighterRY.wav;PolicemanBlue.png;PolicemanGreen.png;PolicemanRed.png;FighterRed.png;FighterYellow.png;FighterYellow.wav;PolicemanBlue.png;PolicemanGreen.png;PolicemanRed.png;sad;Policeman;Fighter;Blue;Green;Red;Red;Yellow
control-false-none-E1;AorB_B1.A1A2A3;2;2 of 2;DancerRGB_ArtisanRY.wav;DancerRed.png;DancerGreen.png;DancerBlue.png;ArtisanRed.png;ArtisanYellow.png;ArtisanRed.wav;DancerRed.png;DancerGreen.png;DancerBlue.png;sad;Dancer;Artisan;Red;Green;Blue;Red;Yellow
control-false-none-E1;AorB_B1.A1A2A3;3;1 of 2;AstronautGYB_QueenYB.wav;AstronautGreen.png;AstronautYellow.png;AstronautBlue.png;QueenYellow.png;QueenBlue.png;QueenYellow.wav;AstronautGreen.png;AstronautYellow.png;AstronautBlue.png;sad;Astronaut;Queen;Green;Yellow;Blue;Yellow;Blue
control-false-none-E1;AorB_B2.A1A2A3;3;2 of 2;WitchYBG_SailorYR.wav;WitchYellow.png;WitchBlue.png;WitchGreen.png;SailorYellow.png;SailorRed.png;SailorRed.wav;WitchYellow.png;WitchBlue.png;WitchGreen.png;sad;Witch;Sailor;Yellow;Blue;Green;Yellow;Red
control-false-none-E1;AorB_B2.A1A2A3;4;1 of 2;DancerGYR_ArtisanGY.wav;DancerGreen.png;DancerYellow.png;DancerRed.png;ArtisanGreen.png;ArtisanYellow.png;ArtisanYellow.wav;DancerGreen.png;DancerYellow.png;DancerRed.png;sad;Dancer;Artisan;Green;Yellow;Red;Green;Yellow
control-false-none-E1;AorB_B1.A1A2A3;4;2 of 2;TennisRBG_HeroRY.wav;TennisRed.png;TennisBlue.png;TennisGreen.png;HeroRed.png;HeroYellow.png;HeroRed.wav;TennisRed.png;TennisBlue.png;TennisGreen.png;sad;Tennis;Hero;Red;Blue;Green;Red;Yellow
control-false-none-E1;AorB_B1.A1A2A3;5;1 of 2;GardenerBGY_ExplorerGY.wav;GardenerBlue.png;GardenerGreen.png;GardenerYellow.png;ExplorerGreen.png;ExplorerYellow.png;ExplorerGreen.wav;GardenerBlue.png;GardenerGreen.png;GardenerYellow.png;sad;Gardener;Explorer;Blue;Green;Yellow;Green;Yellow
control-false-none-E1;AorB_B2.A1A2A3;5;2 of 2;PirateYRB_MermaidRG.wav;PirateYellow.png;PirateRed.png;PirateBlue.png;MermaidRed.png;MermaidGreen.png;MermaidGreen.wav;PirateYellow.png;PirateRed.png;PirateBlue.png;sad;Pirate;Mermaid;Yellow;Red;Blue;Red;Green
control-false-none-E1;AorB_B2.A1A2A3;6;1 of 2;HeroGYR_ArtistGR.wav;HeroGreen.png;HeroYellow.png;HeroRed.png;ArtistGreen.png;ArtistRed.png;ArtistRed.wav;HeroGreen.png;HeroYellow.png;HeroRed.png;sad;Hero;Artist;Green;Yellow;Red;Green;Red
control-false-none-E1;AorB_B1.A1A2A3;6;2 of 2;GhostGBR_ExplorerYB.wav;GhostGreen.png;GhostBlue.png;GhostRed.png;ExplorerYellow.png;ExplorerBlue.png;ExplorerYellow.wav;GhostGreen.png;GhostBlue.png;GhostRed.png;sad;Ghost;Explorer;Green;Blue;Red;Yellow;Blue
