Item;Type;Group;Number;DomainIntro;domainImage1;domainImage2;domainImage3;domainImage4;domainImage5;Premises;judgmentImage1;judgmentImage2;judgmentImage3;TargetResponse;set_A;set_B;A1_color;A2_color;A3_color;B1_color;B2_color
control-true-D1;A3.A1A2A3;1;1 of 2;ClownGRB_ScubaBR.wav;ClownGreen.png;ClownRed.png;ClownBlue.png;ScubaBlue.png;ScubaRed.png;ClownBlue.wav;ClownGreen.png;ClownRed.png;ClownBlue.png;happy;Clown;Scuba;Green;Red;Blue;Blue;Red
control-true-D1;A1.A1A2A3;1;2 of 2;FighterYGR_ChefGY.wav;FighterYellow.png;FighterGreen.png;FighterRed.png;ChefGreen.png;ChefYellow.png;FighterYellow.wav;FighterYellow.png;FighterGreen.png;FighterRed.png;happy;Fighter;Chef;Yellow;Green;Red;Green;Yellow
control-true-D1;A2.A1A2A3;2;1 of 2;ArtisanBRG_SoccerGY.wav;ArtisanBlue.png;ArtisanRed.png;ArtisanGreen.png;SoccerGreen.png;SoccerYellow.png;ArtisanRed.wav;ArtisanBlue.png;ArtisanRed.png;ArtisanGreen.png;happy;Artisan;Soccer;Blue;Red;Green;Green;Yellow
control-true-D1;A3.A1A2A3;2;2 of 2;AcrobatGRB_ExplorerYG.wav;AcrobatGreen.png;AcrobatRed.png;AcrobatBlue.png;ExplorerYellow.png;ExplorerGreen.png;AcrobatBlue.wav;AcrobatGreen.png;AcrobatRed.png;AcrobatBlue.png;happy;Acrobat;Explorer;Green;Red;Blue;Yellow;Green
control-true-D1;A1.A1A2A3;3;1 of 2;NurseYGB_MagicianBY.wav;NurseYellow.png;NurseGreen.png;NurseBlue.png;MagicianBlue.png;MagicianYellow.png;NurseYellow.wav;NurseYellow.png;NurseGreen.png;NurseBlue.png;happy;Nurse;Magician;Yellow;Green;Blue;Blue;Yellow
control-true-D1;A3.A1A2A3;3;2 of 2;HeroRBG_KnightGY.wav;HeroRed.png;HeroBlue.png;HeroGreen.png;KnightGreen.png;KnightYellow.png;HeroGreen.wav;HeroRed.png;HeroBlue.png;HeroGreen.png;happy;Hero;Knight;Red;Blue;Green;Green;Yellow
control-true-D1;A2.A1A2A3;4;1 of 2;ScientistBYG_AcrobatGR.wav;ScientistBlue.png;ScientistYellow.png;ScientistGreen.png;AcrobatGreen.png;AcrobatRed.png;ScientistYellow.wav;ScientistBlue.png;ScientistYellow.png;ScientistGreen.png;happy;Scientist;Acrobat;Blue;Yellow;Green;Green;Red
control-true-D1;A1.A1A2A3;4;2 of 2;CowboyBYR_SoccerYB.wav;CowboyBlue.png;CowboyYellow.png;CowboyRed.png;SoccerYellow.png;SoccerBlue.png;CowboyBlue.wav;CowboyBlue.png;CowboyYellow.png;CowboyRed.png;happy;Cowboy;Soccer;Blue;Yellow;Red;Yellow;Blue
control-true-D1;A3.A1A2A3;5;1 of 2;GhostGYB_PainterBY.wav;GhostGreen.png;GhostYellow.png;GhostBlue.png;PainterBlue.png;PainterYellow.png;GhostBlue.wav;GhostGreen.png;GhostYellow.png;GhostBlue.png;happy;Ghost;Painter;Green;Yellow;Blue;Blue;Yellow
control-true-D1;A2.A1A2A3;5;2 of 2;ClownBGY_NurseYG.wav;ClownBlue.png;ClownGreen.png;ClownYellow.png;NurseYellow.png;NurseGreen.png;ClownGreen.wav;ClownBlue.png;ClownGreen.png;ClownYellow.png;happy;Clown;Nurse;Blue;Green;Yellow;Yellow;Green
control-true-D1;A1.A1A2A3;6;1 of 2;CowboyGYR_PhotographerRY.wav;CowboyGreen.png;CowboyYellow.png;CowboyRed.png;PhotographerRed.png;PhotographerYellow.png;CowboyGreen.wav;CowboyGreen.png;CowboyYellow.png;CowboyRed.png;happy;Cowboy;Photographer;Green;Yellow;Red;Red;Yellow
control-true-D1;A2.A1A2A3;6;2 of 2;ServerYBG_WitchYG.wav;ServerYellow.png;ServerBlue.png;ServerGreen.png;WitchYellow.png;WitchGreen.png;ServerBlue.wav;ServerYellow.png;ServerBlue.png;ServerGreen.png;happy;Server;Witch;Yellow;Blue;Green;Yellow;Green
