Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,judgmentImage4,judgmentImage5,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
critical-1-B3,AorB.A1A2A3B1B2,1,1 of 4,MagicianYBR_AstronautYB.mp3,MagicianYellow.png,MagicianBlue.png,MagicianRed.png,AstronautYellow.png,AstronautBlue.png,MagicianOrAstronaut.mp3,MagicianYellow.png,MagicianBlue.png,MagicianRed.png,AstronautYellow.png,AstronautBlue.png,happy,Magician,Astronaut,Yellow,Blue,Red,Yellow,Blue
critical-1-B3,AorB.A1A2A3B1B2,1,2 of 4,MummyRYB_MagicianRG.mp3,MummyRed.png,MummyYellow.png,MummyBlue.png,MagicianRed.png,MagicianGreen.png,MummyOrMagician.mp3,MummyRed.png,MummyYellow.png,MummyBlue.png,MagicianRed.png,MagicianGreen.png,happy,Mummy,Magician,Red,Yellow,Blue,Red,Green
critical-1-B3,AorB.A1A2A3B1B2,2,1 of 4,ExplorerGRY_QueenGR.mp3,ExplorerGreen.png,ExplorerRed.png,ExplorerYellow.png,QueenGreen.png,QueenRed.png,ExplorerOrQueen.mp3,ExplorerGreen.png,ExplorerRed.png,ExplorerYellow.png,QueenGreen.png,QueenRed.png,happy,Explorer,Queen,Green,Red,Yellow,Green,Red
critical-1-B3,AorB.A1A2A3B1B2,2,2 of 4,PirateRYG_GnomeBG.mp3,PirateRed.png,PirateYellow.png,PirateGreen.png,GnomeBlue.png,GnomeGreen.png,PirateOrGnome.mp3,PirateRed.png,PirateYellow.png,PirateGreen.png,GnomeBlue.png,GnomeGreen.png,happy,Pirate,Gnome,Red,Yellow,Green,Blue,Green
critical-1-B3,AorB.A1A2A3B1B2,3,1 of 4,SoccerBRG_MailmanGR.mp3,SoccerBlue.png,SoccerRed.png,SoccerGreen.png,MailmanGreen.png,MailmanRed.png,SoccerOrMailman.mp3,SoccerBlue.png,SoccerRed.png,SoccerGreen.png,MailmanGreen.png,MailmanRed.png,happy,Soccer,Mailman,Blue,Red,Green,Green,Red
critical-1-B3,AorB.A1A2A3B1B2,3,2 of 4,ScientistYBG_LifeguardGY.mp3,ScientistYellow.png,ScientistBlue.png,ScientistGreen.png,LifeguardGreen.png,LifeguardYellow.png,ScientistOrLifeguard.mp3,ScientistYellow.png,ScientistBlue.png,ScientistGreen.png,LifeguardGreen.png,LifeguardYellow.png,happy,Scientist,Lifeguard,Yellow,Blue,Green,Green,Yellow
critical-1-B3,AorB.A1A2A3B1B2,4,1 of 4,GardenerBYG_MummyBY.mp3,GardenerBlue.png,GardenerYellow.png,GardenerGreen.png,MummyBlue.png,MummyYellow.png,GardenerOrMummy.mp3,GardenerBlue.png,GardenerYellow.png,GardenerGreen.png,MummyBlue.png,MummyYellow.png,happy,Gardener,Mummy,Blue,Yellow,Green,Blue,Yellow
critical-1-B3,AorB.A1A2A3B1B2,4,2 of 4,ExplorerGBY_SnowmanYR.mp3,ExplorerGreen.png,ExplorerBlue.png,ExplorerYellow.png,SnowmanYellow.png,SnowmanRed.png,ExplorerOrSnowman.mp3,ExplorerGreen.png,ExplorerBlue.png,ExplorerYellow.png,SnowmanYellow.png,SnowmanRed.png,happy,Explorer,Snowman,Green,Blue,Yellow,Yellow,Red
critical-1-B3,AorB.A1A2A3B1B2,5,1 of 4,HeroBYG_PlumberBR.mp3,HeroBlue.png,HeroYellow.png,HeroGreen.png,PlumberBlue.png,PlumberRed.png,HeroOrPlumber.mp3,HeroBlue.png,HeroYellow.png,HeroGreen.png,PlumberBlue.png,PlumberRed.png,happy,Hero,Plumber,Blue,Yellow,Green,Blue,Red
critical-1-B3,AorB.A1A2A3B1B2,5,2 of 4,CowboyGBY_ChefYB.mp3,CowboyGreen.png,CowboyBlue.png,CowboyYellow.png,ChefYellow.png,ChefBlue.png,CowboyOrChef.mp3,CowboyGreen.png,CowboyBlue.png,CowboyYellow.png,ChefYellow.png,ChefBlue.png,happy,Cowboy,Chef,Green,Blue,Yellow,Yellow,Blue
critical-1-B3,AorB.A1A2A3B1B2,6,1 of 4,FighterYGB_ScientistYB.mp3,FighterYellow.png,FighterGreen.png,FighterBlue.png,ScientistYellow.png,ScientistBlue.png,FighterOrScientist.mp3,FighterYellow.png,FighterGreen.png,FighterBlue.png,ScientistYellow.png,ScientistBlue.png,happy,Fighter,Scientist,Yellow,Green,Blue,Yellow,Blue
critical-1-B3,AorB.A1A2A3B1B2,6,2 of 4,ScubaRGY_SoldierGB.mp3,ScubaRed.png,ScubaGreen.png,ScubaYellow.png,SoldierGreen.png,SoldierBlue.png,ScubaOrSoldier.mp3,ScubaRed.png,ScubaGreen.png,ScubaYellow.png,SoldierGreen.png,SoldierBlue.png,happy,Scuba,Soldier,Red,Green,Yellow,Green,Blue
