Item,Type,Group,Number,DomainIntro,domainImage1,domainImage2,domainImage3,domainImage4,domainImage5,Premises,judgmentImage1,judgmentImage2,judgmentImage3,TargetResponse,set_A,set_B,A1_color,A2_color,A3_color,B1_color,B2_color
critical-3-A2,AorB_A2.A2B1B2,1,1 of 2,PhotographerBGY_HeroGB.mp3,PhotographerBlue.png,PhotographerGreen.png,PhotographerYellow.png,HeroGreen.png,HeroBlue.png,PhotographerOrHero_AlsoPhotographerGreen.mp3,PhotographerGreen.png,HeroGreen.png,HeroBlue.png,happy,Photographer,Hero,Blue,Green,Yellow,Green,Blue
critical-3-A2,AorB_A3.A3B1B2,1,2 of 2,ExplorerYRB_PainterYB.mp3,ExplorerYellow.png,ExplorerRed.png,ExplorerBlue.png,PainterYellow.png,PainterBlue.png,ExplorerOrPainter_AlsoExplorerBlue.mp3,ExplorerBlue.png,PainterYellow.png,PainterBlue.png,happy,Explorer,Painter,Yellow,Red,Blue,Yellow,Blue
critical-3-A2,AorB_A1.A1B1B2,2,1 of 2,MermaidGYR_TeacherYR.mp3,MermaidGreen.png,MermaidYellow.png,MermaidRed.png,TeacherYellow.png,TeacherRed.png,MermaidOrTeacher_AlsoMermaidGreen.mp3,MermaidGreen.png,TeacherYellow.png,TeacherRed.png,happy,Mermaid,Teacher,Green,Yellow,Red,Yellow,Red
critical-3-A2,AorB_A3.A3B1B2,2,2 of 2,ChefYBG_FarmerRB.mp3,ChefYellow.png,ChefBlue.png,ChefGreen.png,FarmerRed.png,FarmerBlue.png,ChefOrFarmer_AlsoChefGreen.mp3,ChefGreen.png,FarmerRed.png,FarmerBlue.png,happy,Chef,Farmer,Yellow,Blue,Green,Red,Blue
critical-3-A2,AorB_A2.A2B1B2,3,1 of 2,SailorYGB_PainterBR.mp3,SailorYellow.png,SailorGreen.png,SailorBlue.png,PainterBlue.png,PainterRed.png,SailorOrPainter_AlsoSailorGreen.mp3,SailorGreen.png,PainterBlue.png,PainterRed.png,happy,Sailor,Painter,Yellow,Green,Blue,Blue,Red
critical-3-A2,AorB_A1.A1B1B2,3,2 of 2,ServerRBG_PirateYG.mp3,ServerRed.png,ServerBlue.png,ServerGreen.png,PirateYellow.png,PirateGreen.png,ServerOrPirate_AlsoServerRed.mp3,ServerRed.png,PirateYellow.png,PirateGreen.png,happy,Server,Pirate,Red,Blue,Green,Yellow,Green
critical-3-A2,AorB_A3.A3B1B2,4,1 of 2,ScubaRGB_CowboyBY.mp3,ScubaRed.png,ScubaGreen.png,ScubaBlue.png,CowboyBlue.png,CowboyYellow.png,ScubaOrCowboy_AlsoScubaBlue.mp3,ScubaBlue.png,CowboyBlue.png,CowboyYellow.png,happy,Scuba,Cowboy,Red,Green,Blue,Blue,Yellow
critical-3-A2,AorB_A2.A2B1B2,4,2 of 2,PlumberBGY_TeacherYB.mp3,PlumberBlue.png,PlumberGreen.png,PlumberYellow.png,TeacherYellow.png,TeacherBlue.png,PlumberOrTeacher_AlsoPlumberGreen.mp3,PlumberGreen.png,TeacherYellow.png,TeacherBlue.png,happy,Plumber,Teacher,Blue,Green,Yellow,Yellow,Blue
critical-3-A2,AorB_A1.A1B1B2,5,1 of 2,HairdresserRGY_GardenerYB.mp3,HairdresserRed.png,HairdresserGreen.png,HairdresserYellow.png,GardenerYellow.png,GardenerBlue.png,HairdresserOrGardener_AlsoHairdresserRed.mp3,HairdresserRed.png,GardenerYellow.png,GardenerBlue.png,happy,Hairdresser,Gardener,Red,Green,Yellow,Yellow,Blue
critical-3-A2,AorB_A2.A2B1B2,5,2 of 2,MusicianRGB_PhotographerBR.mp3,MusicianRed.png,MusicianGreen.png,MusicianBlue.png,PhotographerBlue.png,PhotographerRed.png,MusicianOrPhotographer_AlsoMusicianGreen.mp3,MusicianGreen.png,PhotographerBlue.png,PhotographerRed.png,happy,Musician,Photographer,Red,Green,Blue,Blue,Red
critical-3-A2,AorB_A3.A3B1B2,6,1 of 2,LawyerBYR_ArtisanBY.mp3,LawyerBlue.png,LawyerYellow.png,LawyerRed.png,ArtisanBlue.png,ArtisanYellow.png,LawyerOrArtisan_AlsoLawyerRed.mp3,LawyerRed.png,ArtisanBlue.png,ArtisanYellow.png,happy,Lawyer,Artisan,Blue,Yellow,Red,Blue,Yellow
critical-3-A2,AorB_A1.A1B1B2,6,2 of 2,QueenYBG_BusinessBY.mp3,QueenYellow.png,QueenBlue.png,QueenGreen.png,BusinessBlue.png,BusinessYellow.png,QueenOrBusiness_AlsoQueenYellow.mp3,QueenYellow.png,BusinessBlue.png,BusinessYellow.png,happy,Queen,Business,Yellow,Blue,Green,Blue,Yellow
